,zip,statecode,county,city_town,climate.Zone,city,state,latitude,longitude
1,00501,NY,SUFFOLK,HOLTSVILLE,4A,Holtsville,NY,40.922326,-72.637078
2,01001,MA,HAMPDEN,AGAWAM,5A,Agawam,MA,42.07061,-72.62029
3,01002,MA,HAMPSHIRE,AMHERST,5A,Amherst,MA,42.377651,-72.50323
4,01003,MA,HAMPSHIRE,AMHERST,5A,Amherst,MA,42.369562,-72.63599
5,01004,MA,HAMPSHIRE,AMHERST,5A,Amherst,MA,42.384494,-72.513183
6,01005,MA,WORCESTER,BARRE,5A,Barre,MA,42.412094,-72.10443
7,01007,MA,HAMPSHIRE,BELCHERTOWN,5A,Belchertown,MA,42.278424,-72.411
8,01008,MA,HAMPDEN,BLANDFORD,5A,Blandford,MA,42.174313,-72.94828
9,01009,MA,HAMPDEN,BONDSVILLE,5A,Bondsville,MA,42.206092,-72.340486
10,01010,MA,HAMPDEN,BRIMFIELD,5A,Brimfield,MA,42.126038,-72.20552
11,01011,MA,HAMPDEN,CHESTER,5A,Chester,MA,42.271442,-73.01958
12,01012,MA,HAMPSHIRE,CHESTERFIELD,5A,Chesterfield,MA,42.390836,-72.84356
13,01013,MA,HAMPDEN,CHICOPEE,5A,Chicopee,MA,42.161492,-72.60316
14,01014,MA,HAMPDEN,CHICOPEE,5A,Chicopee,MA,42.170731,-72.604842
15,01020,MA,HAMPDEN,CHICOPEE,5A,Chicopee,MA,42.175992,-72.57265
16,01021,MA,HAMPDEN,CHICOPEE,5A,Chicopee,MA,42.170731,-72.604842
17,01022,MA,HAMPDEN,CHICOPEE,5A,Chicopee,MA,42.196666,-72.55606
18,01026,MA,HAMPSHIRE,CUMMINGTON,5A,Cummington,MA,42.465041,-72.91813
19,01027,MA,HAMPSHIRE,EASTHAMPTON,5A,Easthampton,MA,42.27279,-72.68677
20,01028,MA,HAMPDEN,EAST LONGMEADOW,5A,East Longmeadow,MA,42.066795,-72.5102
21,01029,MA,BERKSHIRE,EAST OTIS,5A,East Otis,MA,42.175896,-73.04204
22,01030,MA,HAMPDEN,FEEDING HILLS,5A,Feeding Hills,MA,42.070774,-72.67248
