zipcode,statecode,county,city_town,climate Zone
00501,NY,SUFFOLK,HOLTSVILLE,4A
01001,MA,HAMPDEN,AGAWAM,5A
01002,MA,HAMPSHIRE,AMHERST,5A
01003,MA,HAMPSHIRE,AMHERST,5A
01004,MA,HAMPSHIRE,AMHERST,5A
01005,MA,WORCESTER,BARRE,5A
01007,MA,HAMPSHIRE,BELCHERTOWN,5A
01008,MA,HAMPDEN,BLANDFORD,5A
01009,MA,HAMPDEN,BONDSVILLE,5A
01010,MA,HAMPDEN,BRIMFIELD,5A
01011,MA,HAMPDEN,CHESTER,5A
01012,MA,HAMPSHIRE,CHESTERFIELD,5A
01013,MA,HAMPDEN,CHICOPEE,5A
01014,MA,HAMPDEN,CHICOPEE,5A
01020,MA,HAMPDEN,CHICOPEE,5A
01021,MA,HAMPDEN,CHICOPEE,5A
01022,MA,HAMPDEN,CHICOPEE,5A
01026,MA,HAMPSHIRE,CUMMINGTON,5A
01027,MA,HAMPSHIRE,EASTHAMPTON,5A
01028,MA,HAMPDEN,EAST LONGMEADOW,5A
01029,MA,BERKSHIRE,EAST OTIS,5A
01030,MA,HAMPDEN,FEEDING HILLS,5A
01031,MA,WORCESTER,GILBERTVILLE,5A
01032,MA,HAMPSHIRE,GOSHEN,5A
01033,MA,HAMPSHIRE,GRANBY,5A
01034,MA,HAMPDEN,GRANVILLE,5A
01035,MA,HAMPSHIRE,HADLEY,5A
01036,MA,HAMPDEN,HAMPDEN,5A
01037,MA,WORCESTER,HARDWICK,5A
01038,MA,HAMPSHIRE,HATFIELD,5A
01039,MA,HAMPSHIRE,HAYDENVILLE,5A
01040,MA,HAMPDEN,HOLYOKE,5A
01041,MA,HAMPDEN,HOLYOKE,5A
01050,MA,HAMPSHIRE,HUNTINGTON,5A
01053,MA,HAMPSHIRE,LEEDS,5A
01054,MA,FRANKLIN,LEVERETT,5A
01056,MA,HAMPDEN,LUDLOW,5A
01057,MA,HAMPDEN,MONSON,5A
01059,MA,HAMPSHIRE,NORTH AMHERST,5A
01060,MA,HAMPSHIRE,NORTHAMPTON,5A
01061,MA,HAMPSHIRE,NORTHAMPTON,5A
01062,MA,HAMPSHIRE,FLORENCE,5A
01063,MA,HAMPSHIRE,NORTHAMPTON,5A
01066,MA,HAMPSHIRE,NORTH HATFIELD,5A
01068,MA,WORCESTER,OAKHAM,5A
01069,MA,HAMPDEN,PALMER,5A
01070,MA,HAMPSHIRE,PLAINFIELD,5A
01071,MA,HAMPDEN,RUSSELL,5A
01072,MA,FRANKLIN,SHUTESBURY,5A
01073,MA,HAMPSHIRE,SOUTHAMPTON,5A
01074,MA,WORCESTER,SOUTH BARRE,5A
01075,MA,HAMPSHIRE,SOUTH HADLEY,5A
01077,MA,HAMPDEN,SOUTHWICK,5A
01079,MA,HAMPDEN,THORNDIKE,5A
01080,MA,HAMPDEN,THREE RIVERS,5A
01081,MA,HAMPDEN,WALES,5A
01082,MA,HAMPSHIRE,WARE,5A
01083,MA,WORCESTER,WARREN,5A
01084,MA,HAMPSHIRE,WEST CHESTERFIELD,5A
01085,MA,HAMPDEN,WESTFIELD,5A
01086,MA,HAMPDEN,WESTFIELD,5A
01088,MA,HAMPSHIRE,WEST HATFIELD,5A
01089,MA,HAMPDEN,WEST SPRINGFIELD,5A
01090,MA,HAMPDEN,WEST SPRINGFIELD,5A
01092,MA,WORCESTER,WEST WARREN,5A
01093,MA,FRANKLIN,WHATELY,5A
01094,MA,WORCESTER,WHEELWRIGHT,5A
01095,MA,HAMPDEN,WILBRAHAM,5A
01096,MA,HAMPSHIRE,WILLIAMSBURG,5A
01098,MA,HAMPSHIRE,WORTHINGTON,5A
01101,MA,HAMPDEN,SPRINGFIELD,5A
01102,MA,HAMPDEN,SPRINGFIELD,5A
01103,MA,HAMPDEN,SPRINGFIELD,5A
01104,MA,HAMPDEN,SPRINGFIELD,5A
01105,MA,HAMPDEN,SPRINGFIELD,5A
01106,MA,HAMPDEN,LONGMEADOW,5A
01107,MA,HAMPDEN,SPRINGFIELD,5A
01108,MA,HAMPDEN,SPRINGFIELD,5A
01109,MA,HAMPDEN,SPRINGFIELD,5A
01111,MA,HAMPDEN,SPRINGFIELD,5A
01115,MA,HAMPDEN,SPRINGFIELD,5A
01116,MA,HAMPDEN,LONGMEADOW,5A
01118,MA,HAMPDEN,SPRINGFIELD,5A
01119,MA,HAMPDEN,SPRINGFIELD,5A
01128,MA,HAMPDEN,SPRINGFIELD,5A
01129,MA,HAMPDEN,SPRINGFIELD,5A
01138,MA,HAMPDEN,SPRINGFIELD,5A
01139,MA,HAMPDEN,SPRINGFIELD,5A
01144,MA,HAMPDEN,SPRINGFIELD,5A
01151,MA,HAMPDEN,INDIAN ORCHARD,5A
01152,MA,HAMPDEN,SPRINGFIELD,5A
01199,MA,HAMPDEN,SPRINGFIELD,5A
01201,MA,BERKSHIRE,PITTSFIELD,5A
01202,MA,BERKSHIRE,PITTSFIELD,5A
01203,MA,BERKSHIRE,PITTSFIELD,5A
01220,MA,BERKSHIRE,ADAMS,5A
01222,MA,BERKSHIRE,ASHLEY FALLS,5A
01223,MA,BERKSHIRE,BECKET,5A
01224,MA,BERKSHIRE,BERKSHIRE,5A
01225,MA,BERKSHIRE,CHESHIRE,5A
01226,MA,BERKSHIRE,DALTON,5A
01227,MA,BERKSHIRE,DALTON,5A
01229,MA,BERKSHIRE,GLENDALE,5A
01230,MA,BERKSHIRE,GREAT BARRINGTON,5A
01235,MA,BERKSHIRE,HINSDALE,5A
01236,MA,BERKSHIRE,HOUSATONIC,5A
01237,MA,BERKSHIRE,LANESBORO,5A
01238,MA,BERKSHIRE,LEE,5A
01240,MA,BERKSHIRE,LENOX,5A
01242,MA,BERKSHIRE,LENOX DALE,5A
01243,MA,HAMPSHIRE,MIDDLEFIELD,5A
01244,MA,BERKSHIRE,MILL RIVER,5A
01245,MA,BERKSHIRE,MONTEREY,5A
01247,MA,BERKSHIRE,NORTH ADAMS,5A
01252,MA,BERKSHIRE,NORTH EGREMONT,5A
01253,MA,BERKSHIRE,OTIS,5A
01254,MA,BERKSHIRE,RICHMOND,5A
01255,MA,BERKSHIRE,SANDISFIELD,5A
01256,MA,BERKSHIRE,SAVOY,5A
01257,MA,BERKSHIRE,SHEFFIELD,5A
01258,MA,BERKSHIRE,SOUTH EGREMONT,5A
01259,MA,BERKSHIRE,SOUTHFIELD,5A
01260,MA,BERKSHIRE,SOUTH LEE,5A
01262,MA,BERKSHIRE,STOCKBRIDGE,5A
01264,MA,BERKSHIRE,TYRINGHAM,5A
01266,MA,BERKSHIRE,WEST STOCKBRIDGE,5A
01267,MA,BERKSHIRE,WILLIAMSTOWN,5A
01270,MA,BERKSHIRE,WINDSOR,5A
01301,MA,FRANKLIN,GREENFIELD,5A
01302,MA,FRANKLIN,GREENFIELD,5A
01330,MA,FRANKLIN,ASHFIELD,5A
01331,MA,WORCESTER,ATHOL,5A
01337,MA,FRANKLIN,BERNARDSTON,5A
01338,MA,FRANKLIN,BUCKLAND,5A
01339,MA,FRANKLIN,CHARLEMONT,5A
01340,MA,FRANKLIN,COLRAIN,5A
01341,MA,FRANKLIN,CONWAY,5A
01342,MA,FRANKLIN,DEERFIELD,5A
01343,MA,BERKSHIRE,DRURY,5A
01344,MA,FRANKLIN,ERVING,5A
01346,MA,FRANKLIN,HEATH,5A
01347,MA,FRANKLIN,LAKE PLEASANT,5A
01349,MA,FRANKLIN,MILLERS FALLS,5A
01350,MA,FRANKLIN,MONROE BRIDGE,5A
01351,MA,FRANKLIN,MONTAGUE,5A
01354,MA,FRANKLIN,GILL,5A
01355,MA,FRANKLIN,NEW SALEM,5A
01360,MA,FRANKLIN,NORTHFIELD,5A
01364,MA,FRANKLIN,ORANGE,5A
01366,MA,WORCESTER,PETERSHAM,5A
01367,MA,FRANKLIN,ROWE,5A
01368,MA,WORCESTER,ROYALSTON,5A
01370,MA,FRANKLIN,SHELBURNE FALLS,5A
01373,MA,FRANKLIN,SOUTH DEERFIELD,5A
01375,MA,FRANKLIN,SUNDERLAND,5A
01376,MA,FRANKLIN,TURNERS FALLS,5A
01378,MA,FRANKLIN,WARWICK,5A
01379,MA,FRANKLIN,WENDELL,5A
01380,MA,FRANKLIN,WENDELL DEPOT,5A
01420,MA,WORCESTER,FITCHBURG,5A
01430,MA,WORCESTER,ASHBURNHAM,5A
01431,MA,MIDDLESEX,ASHBY,5A
01432,MA,MIDDLESEX,AYER,5A
01434,MA,MIDDLESEX,DEVENS,5A
01436,MA,WORCESTER,BALDWINVILLE,5A
01438,MA,WORCESTER,EAST TEMPLETON,5A
01440,MA,WORCESTER,GARDNER,5A
01441,MA,WORCESTER,WESTMINSTER,5A
01450,MA,MIDDLESEX,GROTON,5A
01451,MA,WORCESTER,HARVARD,5A
01452,MA,WORCESTER,HUBBARDSTON,5A
01453,MA,WORCESTER,LEOMINSTER,5A
01460,MA,MIDDLESEX,LITTLETON,5A
01462,MA,WORCESTER,LUNENBURG,5A
01463,MA,MIDDLESEX,PEPPERELL,5A
01464,MA,MIDDLESEX,SHIRLEY,5A
01467,MA,WORCESTER,STILL RIVER,5A
01468,MA,WORCESTER,TEMPLETON,5A
01469,MA,MIDDLESEX,TOWNSEND,5A
01471,MA,MIDDLESEX,GROTON,5A
01472,MA,MIDDLESEX,WEST GROTON,5A
